24.41-5|Metalurgia do aluminio e suas ligas|C-13
24.42-3|Metalurgia dos metais preciosos|C-13
24.43-1|Metalurgia do cobre|C-13
24.49-1|Metalurgia dos metais nao-ferrosos e suas ligas nao especificados anteriormente|C-13
24.51-2|Fundicao de ferro e aco|C-13
24.52-1|Fundicao de metais nao-ferrosos e suas ligas|C-13
25.11-0|Fabricacao de estruturas metalicas|C-13
25.12-8|Fabricacao de esquadrias de metal|C-14
25.13-6|Fabricacao de obras de caldeiraria pesada|C-13
25.21-7|Fabricacao de tanques, reservatorios metalicos e caldeiras para aquecimento central|C-14
25.22-5|Fabricacao de caldeiras geradoras de vapor, exceto para aquecimento central e para veiculos|C-14
25.31-4|Producao de forjados de aco e de metais nao-ferrosos e suas ligas|C-13
25.32-2|"Producao de artefatos estampados de metal| metalurgia do po"|C-13
25.39-0|Servicos de usinagem, solda, tratamento e revestimento em metais|C-13
25.41-1|Fabricacao de artigos de cutelaria|C-14
25.42-0|Fabricacao de artigos de serralheria, exceto esquadrias|C-14
25.43-8|Fabricacao de ferramentas|C-14
25.50-1|Fabricacao de equipamento belico pesado, armas de fogo e municoes|C-15
25.91-8|Fabricacao de embalagens metalicas|C-14
25.92-6|Fabricacao de produtos de trefilados de metal|C-13
25.93-4|Fabricacao de artigos de metal para uso domestico e pessoal|C-14
25.99-3|Fabricacao de produtos de metal nao especificados anteriormente|C-14
26.10-8|Fabricacao de componentes eletronicos|C-14
26.21-3|Fabricacao de equipamentos de informatica|C-14
26.22-1|Fabricacao de perifericos para equipamentos de informatica|C-14
26.31-1|Fabricacao de equipamentos transmissores de comunicacao|C-14
26.32-9|Fabricacao de aparelhos telefonicos e de outros equipamentos de Comunicacao|C-14
26.40-0|Fabricacao de aparelhos de recepcao, reproducao, gravacao e amplificacao de audio e video|C-14
26.51-5|Fabricacao de aparelhos e equipamentos de medida, teste e controle|C-14
26.52-3|Fabricacao de cronometros e relogios|C-14
26.60-4|Fabricacao de aparelhos eletromedicos e eletroterapeuticos e equipamentos de irradiacao|C-14
26.70-1|Fabricacao de equipamentos e instrumentos opticos, fotograficos e cinematograficos|C-14
26.80-9|Fabricacao de midias virgens, magneticas e opticas|C-10
27.10-4|Fabricacao de geradores, transformadores e motores eletricos|C-14
27.21-0|Fabricacao de pilhas, baterias e acumuladores eletricos, exceto para veiculos automotores|C-10
27.22-8|Fabricacao de baterias e acumuladores para veiculos automotores|C-10
27.31-7|Fabricacao de aparelhos e equipamentos para distribuicao e controle de energia eletrica|C-14
27.32-5|Fabricacao de material eletrico para instalacoes em circuito de consumo|C-14
27.33-3|Fabricacao de fios, cabos e condutores eletricos isolados|C-14
27.40-6|Fabricacao de lâmpadas e outros equipamentos de iluminacao|C-14
27.51-1|Fabricacao de fogoes, refrigeradores e maquinas de lavar e secar para uso domestico|C-14
27.59-7|Fabricacao de aparelhos eletrodomesticos nao especificados anteriormente|C-14
27.90-2|Fabricacao de equipamentos e aparelhos eletricos nao especificados anteriormente|C-14
28.11- 9|Fabricacao de motores e turbinas, exceto para avioes e veiculos rodoviarios|C-14
28.12-7|Fabricacao de equipamentos hidraulicos e pneumaticos, exceto valvulas|C-14
28.13-5|Fabricacao de valvulas, registros e dispositivos semelhantes|C-14
